player_name,Pos,Age,Tm,G,salary,WAR,PPG,PPM,APG,APM,RPG,RPM,OPG,DPG,SPG,BPG,TPG,FPG,eFGp,PER,TSp,OWS,DWS,WS,WSpG
Boban Marjanovic,C,30,TOT,58,9490740,2.43,7.276,0.62,0.931,0.079,4.569,0.389,1.5,3.069,0.276,0.466,1.017,1.552,0.623,24.2,0.664,2.1,0.9,3,0.212
Bobby Portis,PF,23,TOT,50,2494346,-0.27,14.2,0.547,1.44,0.055,8.06,0.31,2.18,5.88,0.7,0.4,1.48,2.9,0.504,16.1,0.529,0.5,1.1,1.6,0.06
Bogdan Bogdanovic,SG,26,SAC,70,9000000,1.89,14.143,0.508,3.814,0.137,3.471,0.125,0.571,2.9,1.029,0.214,1.671,2.029,0.496,14.1,0.53,1.3,1.4,2.7,0.067
Bojan Bogdanovic,SF,29,IND,81,10500000,4.59,17.951,0.565,1.988,0.063,4.111,0.129,0.407,3.704,0.852,0.012,1.654,1.704,0.575,16.1,0.613,3.9,2.8,6.8,0.126
Brad Wanamaker,PG,29,BOS,36,838464,0.27,3.889,0.408,1.556,0.163,1.139,0.12,0.083,1.056,0.333,0.056,0.528,0.944,0.552,14.3,0.597,0.6,0.4,1,0.134
Bradley Beal,SG,25,WAS,82,25434262,9.990000000000002,25.598,0.693,5.463,0.148,5.012,0.136,1.085,3.927,1.476,0.707,2.732,2.756,0.54,20.8,0.581,5.9,1.7,7.6,0.12
Brandon Ingram,SF,21,LAL,52,5757120,0,18.269,0.54,2.962,0.088,5.135,0.152,0.788,4.346,0.538,0.596,2.481,2.865,0.518,13.4,0.555,0.6,1.4,2,0.055
Brandon Knight,PG,27,TOT,39,14631250,-1.62,6.821,0.361,1.821,0.096,1.513,0.08,0.256,1.256,0.538,0.051,0.769,1.59,0.46,8.9,0.484,-0.1,0,0,-0.002
Brook Lopez,C,30,MIL,81,3382000,6.48,12.457,0.435,1.21,0.042,4.889,0.171,0.407,4.481,0.63,2.21,1.012,2.333,0.571,14.6,0.597,2.3,4.3,6.7,0.138
Bruce Brown,SG,22,DET,74,838464,-1.35,4.311,0.22,1.23,0.063,2.5,0.128,0.649,1.851,0.541,0.486,0.622,2.405,0.436,6.9,0.469,-0.1,1.6,1.5,0.048
